Date,Close/Last,Volume,Open,High,Low
03/13/2026,$99.15,9400434,$100.64,$101.22,$98.86
03/12/2026,$100.18,12248260,$101.02,$102.44,$99.89
03/11/2026,$101.44,8821442,$101.00,$101.685,$99.66
03/10/2026,$100.77,8005835,$99.37,$101.14,$98.26
03/09/2026,$99.77,9376752,$98.25,$100.38,$96.82
03/06/2026,$98.99,10826680,$97.07,$99.22,$95.56
03/05/2026,$98.69,9611355,$97.12,$98.93,$96.935
03/04/2026,$97.15,6233447,$97.35,$98.18,$95.85
03/03/2026,$96.68,7197169,$94.92,$97.09,$94.40
03/02/2026,$96.76,7250931,$95.71,$97.105,$95.50
02/27/2026,$98.02,7286909,$96.40,$98.425,$96.11
02/26/2026,$98.08,6246149,$98.37,$99.80,$97.835
02/25/2026,$97.93,6294091,$97.268,$98.20,$95.90
02/24/2026,$96.51,6537568,$94.82,$96.74,$94.01
02/23/2026,$94.78,7696741,$96.14,$97.175,$93.545
02/20/2026,$97.49,8788324,$95.21,$97.78,$94.90
02/19/2026,$95.80,5676669,$95.38,$95.94,$94.76
02/18/2026,$95.76,6068093,$95.04,$96.66,$94.26
02/17/2026,$95.39,8660011,$94.90,$95.51,$93.62
